恰も,"彼女はあたかも幽霊でも見たかのように見えた。
かのじょはあたかもゆうれいでもみたかのようにみえた。
She looked as if she had seen a ghost."
捻じる,"No data for Kanji
No data for Kana
No data for English"
跳ねる,"子どもの頃、よく、兄と平たい石を川面に投げ、何回跳ねるか競って遊んだ。
子どもの頃、よく、あにとひらたいいしをかわもに投げ、なんかいはねるかきそって遊んだ。
When I was a child, I used to play with my older brother, throwing flat stones into the river and competing with him to see how many times they would bounce."
還元している,"No data for Kanji
No data for Kana
No data for English"
現に,"候補者は選挙演説で、全ての人がデジタル社会のメリットを享受できるよう、実現に向けて力を尽くすと訴えかけた。
候補者は選挙演説で、すべてのひとがデジタル社会のメリットをきょうじゅできるよう、実現に向けてちからを尽くすと訴えかけた。
The candidate, in her election speeches, vowed that she will do everything that she can do to ensure that everyone can enjoy the benefits of a digital society."
現代的,"前章でも確認した通り、日本の天皇制は長期にわたり維持されてきたが、本章では天皇制の存続を可能としてきた要因を歴史的視点から考察し、現代的視点からあらためてこの問題について考える。
ぜんしょうでも確認したとおり、日本のてんのうせいは長期にわたりいじされてきたが、ほんしょうではてんのうせいの存続を可能としてきた要因を歴史的視点から考察し、現代的視点からあらためてこの問題について考える。
As confirmed in the previous chapter, Japan's Emperor System has been maintained for along time. However, in this chapter, we will examine the factors that have allowed for the continuation of the Emperor System from a historical perspective and re-evaluate this issue from a contemporary standpoint."
極めて,"外相は、テレビインタビューに答えて、超大国の軍事行動は明らかな国際法違反であり、経済制裁は極めて妥当な措置であるとコメントした。
がいしょうは、テレビインタビューに答えて、ちょうたいこくの軍事行動は明らかな国際法違反であり、経済制裁はきわめてだとうなそちであるとコメントした。
In a televised interview, the foreign minister commented that the military actions of the superpower were a clear violation of international law and that imposing economic sanctions was appropriate."
気紛れ,"No data for Kanji
No data for Kana
No data for English"
清らか,"夏休みに久しぶりに故郷に帰って、清らかな水とさわやかな森の風を満喫してきた。
夏休みにひさしぶりにこきょうに帰って、きよらかな水とさわやかな森の風をまんきつしてきた。
I returned to my hometown for the first time in ages during summer break to enjoy the clean water and fresh forest breeze."
謀られ,"No data for Kanji
No data for Kana
No data for English"
除外,"彼は除外された。
かれはじょがいされた。
He was ruled out."
当惑している,"彼女の移り気にはみんな当惑している。
かのじょのうつりぎにはみんなとうわくしている。
We are all bewildered by her inconstancy."
かねて,"相撲は日本の文化に深く根差した武道と言われるが、ハワイ、ブラジル、モンゴルなど外国出身の力士もかねてより活躍している。
すもうは日本の文化に深くねざしたぶどうと言われるが、ハワイ、ブラジル、モンゴルなど外国出身のりきしもかねてより活躍している。
Sumo is said to be a martial art deeply rooted in Japanese culture. Nevertheless, there are sumo wrestlers from Hawaii, Brazil, Mongolia, and other foreign countries who have actively taken part in sumo for some time."
倹約,"収入が低いと倹約せざるを得なくなる。
しゅうにゅうがひくいとけんやくせざるをえなくなる。
A small income obliges us to thrift."
波磔,"No data for Kanji
No data for Kana
No data for English"
報告,"同窓会誌に卒業学年の近況を報告することになり、800字以内で書くようにと原稿執筆の依頼を受けた。
どうそうかいしに卒業学年の近況を報告することになり、はっぴゃくじいないで書くようにとげんこうしっぴつのいらいを受けた。
I was asked to write a manuscript for the alumni magazine to report on recent developments concerning our graduating class; I was asked to keep it within 800 characters."
辛抱,"辛抱こそ大事なんだ。
しんぼうこそだいじなんだ。
It's patience that counts."
横着している,"No data for Kanji
No data for Kana
No data for English"
いやに,"友人の引っ越しの手伝いをしている時、いやに重い荷物があったので「いったい何をこんなに詰め込んだの。」と冗談交じりに尋ねると、「金塊だよ」ととぼけた答えが返ってきた。
ゆうじんの引っ越しのてつだいをしている時、いやに重い荷物があったので「いったい何をこんなに詰め込んだの。」とじょうだんまじりに尋ねると、「きんかいだよ」ととぼけた答えが返ってきた。
When I was helping a friend with a move, I found an unusually heavy box. So I jokingly asked him, “What in the world did you pack in this heavy box?” He responded with a dry humor saying, “There are gold nuggets in there.”"
あくまで,"男性より女性の方が癌や心筋梗塞が発症しにくく寿命が長いというのは、あくまでも一般論で、実際には個人差も大きい。
男性より女性のほうががんやしんきんこうそくがはっしょうしにくくじゅみょうが長いというのは、あくまでも一般論で、実際にはこじんさも大きい。
The fact that women are less likely to develop cancer or experience myocardial infarction and have a longer life span than men is merely a generalization. In reality, large individual differences exist."
しとやか,"女性皇族の方々は、気品があってしとやかな振る舞いをされる。
じょせいこうぞくのかたがたは、きひんがあってしとやかなふるまいをされる。
The female members of the Imperial Family comport themselves in a graceful and modest manner."
露骨,"近医で処方を希望したら露骨に嫌な顔をされた。
きんいでしょほうをきぼうしたらろこつにいやなかおをされた。
I was given a nasty look when I asked for my prescription at the local doctor's."
痛手,"彼の死は我が社にとって大きな痛手であった。
かれのしは我が社にとっておおきないたでであった。
His death was a great loss to our firm."
示唆,"彼は私の示唆に単に肩をすくめて無視した。
かれはわたしのしさにたんにかたをすくめてむしした。
He simply shrugged off my suggestion."
いくぶん,"私は幾分疲れを感じています。
わたしはいくぶんつかれをかんじています。
I'm feeling kind of tired."
職人,"日本の伝統工芸の一つ、江戸切子の一人前の職人になるためには、たった2、3年の修行ではとても足りない。
日本のでんとうこうげいのひとつ、えどきりこのいちにんまえのしょくにんになるためには、たったにさんねんのしゅぎょうではとても足りない。
Many years of training are needed to become a full-fledged craftsman of Edo faceted glass, one of Japan's traditional crafts from the Edo period; this art is not something that can be learned in only a few years."
うなった,"子どもの頃と比べると、ふるさとの様子も変わった。川から見える丘陵の頂には、近代的な住宅が建ち並ぶようなった。
子どもの頃と比べると、ふるさとのようすも変わった。川から見えるきゅうりょうのいただきには、近代的な住宅が建ち並ぶようなった。
Compared to during my childhood, my hometown has changed. Now the view of modern houses lined up on the hilltop can be seen from the river."
またがる,"台風の被害は数県にまたがっていた。
たいふうのひがいはすうけんにまたがっていた。
The damage of the typhoon spread over several prefectures."
脚本,"脚本を書いていて、行き詰まった時はどうする？
きゃくほんをかいていて、いきづまったときはどうする？
What do you do when you get writer's block while writing a script?"
山積している,"No data for Kanji
No data for Kana
No data for English"
堂々,"オリンピックでメダルを取った10代半ばの選手は、メディアのインタビューに堂々とした態度で答えた。
オリンピックでメダルを取ったじゅうだいなかばの選手は、メディアのインタビューにどうどうとした態度で答えた。
The athlete in his mid-teens, who had won a medal at the Olympics, confidently attended media interviews and responded to reporters’ questions."
室内装飾,"彼女の抱負は室内装飾家になることです。
かのじょのほうふはしつないそうしょくいえになることです。
She has aspirations to become an interior decorator."
妥当,"外相は、テレビインタビューに答えて、超大国の軍事行動は明らかな国際法違反であり、経済制裁は極めて妥当な措置であるとコメントした。
がいしょうは、テレビインタビューに答えて、ちょうたいこくの軍事行動は明らかな国際法違反であり、経済制裁はきわめてだとうなそちであるとコメントした。
In a televised interview, the foreign minister commented that the military actions of the superpower were a clear violation of international law and that imposing economic sanctions was appropriate."
重宝,"車は持っていると重宝なものだ。
くるまはもっているとちょうほうなものだ。
A car is a handy thing to own."
ばたつく,"No data for Kanji
No data for Kana
No data for English"
保留,"彼は承認を保留した。
かれはしょうにんをほりゅうした。
He withheld his consent."
めきめき,"近年めきめきと力をつけているプロゴルファーの選手は、国内ツアーの獲得賞金が1億円を超え、この年の「賞金王」に輝いた。
近年めきめきとちからをつけているプロゴルファーの選手は、国内ツアーの獲得賞金がいちおくえんを超え、このとしの「しょうきんおう」に輝いた。
A professional golfer, whose game has  grown remarkably stronger in recent years, was crowned “top prize-money earner” of the year, having won over 100 million yen on the domestic tour."
復活,"私は復活祭のパレードを見て楽しんだ。
わたしはふっかつさいのパレードをみてたのしんだ。
I enjoyed watching the Easter Parade."
もてなして,"10年ぶりに再会した友人は私を家に招き、手料理でもてなしてくれた。
じゅうねんぶりに再会したゆうじんは私をいえに招き、てりょうりでもてなしてくれた。
Being reunited after 10 years, my friend invited me to her house and treated me to a home-cooked meal."
歪む,"おまえは舞台のそでで歪んだ鐘を鳴らしている。
おまえはぶたいのそででいがんだかねをならしている。
You're hitting a bell at the edge of the stage."
観点,"宅配の荷物を受け取るときは基本的に印鑑を押すか、サインをすることになっていたが、感染症拡大防止の観点から、住所と名前の確認だけで済ませる場合も増えてきた。
たくはいの荷物を受け取るときは基本的に印鑑を押すか、サインをすることになっていたが、感染症拡大防止の観点から、住所と名前の確認だけですませる場合も増えてきた。
Although the stamping of a seal or giving a signature used to be required to receive a parcel from a courier, confirmation of address and names are increasingly considered sufficient these days from the standpoint of preventing the spread of infectious diseases through reduced contact."
水増ししている,"あのパブではビールを水増ししているのではないか。
あのパブではビールをみずまししているのではないか。
I suspect they water down the beer in that pub."
